"TYPE_NAME","MIX_TYPE","INGR_CODE","INGR_ENG_NAME","INGR_NAME","MIX_INGR","FORM_NAME","ITEM_SEQ","ITEM_NAME","ITEM_PERMIT_DATE","ENTP_NAME","CHART","CLASS_CODE","CLASS_NAME","ETC_OTC_NAME","MAIN_INGR","NOTIFICATION_DATE","PROHBT_CONTENT","REMARK","INGR_ENG_NAME_FULL","STD_CD"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201507475","쎄레스콕캡슐200mg(세레콕시브)","20151030","태극제약(주)","흰색내지 미황색의 분말이 충전된 상하 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806448051305,8806448051312,8806448051329"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201508507","쎄넥스캡슐100mg(세레콕시브)","20151230","(주)넥스팜코리아","흰색 내지 미황색의 분말이 충전된 상하 푸른색 줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806625033407,8806625033414,8806625033421"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201508549","쎄렉스타캡슐100mg(세레콕시브)","20151231","(주)이든파마","흰색 내지 미황색의 분말이 충전된 상하 푸른색 줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806289005406,8806289005413,8806289005420"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201600811","셀코브렉스캡슐100밀리그램(세레콕시브)","20160212","알리코제약(주)","흰색 내지 미황색의 분말이 충전된 상하 푸른색 줄이 있는 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806560041109,8806560041116,8806560041123"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201601081","베아콕시브캡슐100밀리그램(세레콕시브)","20160226","대웅바이오(주)","흰색 내지 미황색의 분말이 충전된 상하 푸른색줄이 있는 흰색의 경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806441028403,8806441028410,8806441028427,8806940037708,8806940037715,8806940037722"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201601704","크리콕스캡슐400밀리그램(세레콕시브)","20160331","삼진제약(주)","흰색 내지 미황색의 분말이 충전된 상하 녹색줄이 있는 흰색의경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806478044100,8806478044117,8806478044124"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201601887","픽콕스캡슐200mg(세레콕시브)","20160408","익수제약(주)","흰색 내지 미황색의 분말이 충전된 상하 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806585019404,8806585019411,8806585019428"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201602304","세코브캡슐200밀리그램(세레콕시브)","20160425","아이큐어(주)","흰색 내지 연한 노란색의 분말이 충전된 상하 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806744008607,8806744008614,8806744008621"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201602409","제이브렉스캡슐100밀리그램(세레콕시브)","20160428","제이더블유중외제약(주)","흰색 내지 미황색의 분말이 충전된 상하 푸른색줄이 있는 흰색의 경질캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806449141807,8806449141814,8806449141821"
"노인주의","단일","D000138","Celecoxib","세레콕시브","","경질캡슐제, 산제","201603412","쎄브렉캡슐200밀리그램(세레콕시브)","20160614","(주)바스칸바이오제약","흰색 내지 미황색의 분말이 충전된 상하 흰색의 캡슐제","01140","해열.진통.소염제","전문의약품","[M089149]세레콕시브","2021-07-15","","","Celecoxib(세레콕시브)","8806562046003,8806562046010,8806562046027,8806562046034,8806562046041"
